text,label
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
"The food was tasty, but the ambiance was lacking.",neutral
"The product is reliable, but it's overpriced.",neutral
"The app is feature-rich, but it's difficult to use.",neutral
"The service was decent, but the staff were unprofessional.",neutral
"The product met my needs, but the quality was average.",neutral
"The staff were friendly, but the service was slow.",neutral
"The product is well-made, but it's difficult to assemble.",neutral
"The app is user-friendly, but it crashes frequently.",neutral
"The service was acceptable, but the food was mediocre.",neutral
"The product is innovative, but it's too expensive.",neutral
"The staff were polite, but the process was frustrating.",neutral
"The food was good, but the portions were too small.",neutral
"The product is functional, but it's not very durable.",neutral
"The app is convenient, but it has too many ads.",neutral
"The service was okay, but the staff were unfriendly.",neutral
"The product met my expectations, but it's overpriced.",neutral
"The staff were helpful, but the experience was underwhelming.",neutral
"The food was flavorful, but the service was slow.",neutral
"The product is reliable, but it's difficult to set up.",neutral
"The app is user-friendly, but it crashes occasionally.",neutral
"The service was prompt, but the quality was average.",neutral
"The product is well-made, but it's too expensive.",neutral
"The staff were courteous, but the food was disappointing.",neutral
"The product is effective, but it's not worth the price.",neutral
"The app is easy to navigate, but it lacks customization options.",neutral
"The service was satisfactory, but the environment was noisy.",neutral
"The product works well, but it's not aesthetically pleasing.",neutral
"The delivery was on time, but the product had defects.",negative
"The staff were kind, but the service was slow.",neutral
"The food was good, but the portions were too small.",neutral
"The product is durable, but it's not very functional.",neutral
"The app is convenient, but it drains my battery quickly.",neutral
"The service was quick, but the product was not as described.",negative
"The staff were helpful, but the process was time-consuming.",neutral
